p_perm,p_midp,p_boot,sig_perm,sig_midp,sig_boot,n,k_row,k_col,alpha,theta,rep,scenario
0.3785242951409718,0.1989,0.15816836632673464,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.2981403719256149,0.149,0.08798240351929613,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3693261347730454,0.1947,0.3015396920615877,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.05618876224755049,0.028,0.04059188162367527,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.10197960407918416,0.0509,0.10197960407918416,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.7833,0.7440511897620475,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.7682,0.8054389122175565,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1279744051189762,0.0639,0.07738452309538092,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3785242951409718,0.2008,0.15656868626274745,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.6491,0.7924415116976604,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.09818036392721456,0.049,0.09818036392721456,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5996,0.7980403919216157,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3755248950209958,0.1979,0.1965606878624275,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.6857,0.39332133573285344,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5772,0.49190161967606477,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1863627274545091,0.0931,0.09198160367926415,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.376124775044991,0.1999,0.3115376924615077,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.20455908818236354,0.1022,0.11157768446310738,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.05678864227154569,0.0283,0.05678864227154569,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.06998600279944012,0.0349,0.06998600279944012,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.19816036792641473,0.099,0.10577884423115377,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5986,0.764247150569886,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.09918016396720655,0.0495,0.09918016396720655,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.374125174965007,0.1978,0.21655668866226754,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.023595280943811237,0.0117,0.023595280943811237,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1349730053989202,0.0674,0.1299740051989602,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.020595880823835233,0.0102,0.020595880823835233,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.30713857228554287,0.1535,0.041791641671665665,FALSE,FALSE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5491,0.499500099980004,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5507,0.29414117176564686,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.5076984603079384,0.3573,0.23215356928614278,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.20175964807038593,0.1008,0.20175964807038593,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.5020995800839833,0.3482,0.2761447710457908,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3059388122375525,0.1529,0.20135972805438912,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.7681,0.6910617876424715,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.0665866826634673,0.0332,0.0665866826634673,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.09578084383123375,0.0478,0.09578084383123375,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.024795040991801638,0.0123,0.024795040991801638,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.29734053189362125,0.1486,0.22095580883823235,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.10377924415116976,0.0518,0.10377924415116976,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3061387722455509,0.153,0.3061387722455509,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1809638072385523,0.0952,0.05018996200759848,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.022795440911817635,0.0113,0.022795440911817635,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3067386522695461,0.1533,0.13997200559888023,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.19736052789442113,0.0986,0.10057988402319536,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.553,0.41471705658868224,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5501,0.7010597880423916,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.06938612277544491,0.0346,0.04239152169566087,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.19356128774245152,0.0967,0.19356128774245152,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.6005,1,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3825234953009398,0.2034,0.11697660467906419,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3837232553489302,0.2034,0.24135172965406917,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.13597280543891221,0.0679,0.01919616076784643,FALSE,FALSE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5491,0.29014197160567884,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.741,0.7688462307538493,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.765,0.9258148370325935,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1917616476704659,0.0958,0.1917616476704659,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.020995800839832032,0.0104,0.020995800839832032,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.379124175164967,0.2015,0.15916816636672665,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.7625,0.5552889422115577,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.09658068386322735,0.0482,0.09658068386322735,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5498,0.4039192161567686,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.6024,0.785242951409718,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.004999000199960008,0.0024,0.004999000199960008,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3879224155168966,0.2055,0.27374525094981006,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.20735852829434112,0.1036,0.13997200559888023,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1835632873425315,0.0953,0.1739652069586083,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.008998200359928014,0.0044,0.008998200359928014,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5798,0.20595880823835233,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5507,0.4967006598680264,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1993601279744051,0.0996,0.04779044191161767,FALSE,FALSE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5477,0.2975404919016197,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.767,0.6848630273945211,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.7668,0.9858028394321136,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.13017396520695862,0.065,0.035992801439712056,FALSE,FALSE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.17116576684663068,0.09,0.0631873625274945,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.0655868826234753,0.0327,0.04619076184763048,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1941611677664467,0.097,0.127374525094981,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1875624875024995,0.0983,0.05338932213557288,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.7628,0.7084583083383323,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.02979404119176165,0.0148,0.014397120575884824,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.02579484103179364,0.0128,0.02579484103179364,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3833233353329334,0.2027,0.17816436712657469,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.3083383323335333,0.1541,0.10217956408718257,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.605,0.3715256948610278,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.6014,1,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.6482,0.4931013797240552,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1943611277744451,0.0971,0.1295740851829634,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.2953409318136373,0.1476,0.20455908818236354,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.20895820835832835,0.1044,0.20895820835832835,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.19696060787842432,0.0984,0.19696060787842432,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.06758648270345931,0.0337,0.046390721855628876,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.7686,0.9582083583283343,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.06758648270345931,0.0337,0.06758648270345931,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.7699,0.9148170365926814,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.023195360927814438,0.0115,0.023195360927814438,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.005398920215956809,0.0026,0.005398920215956809,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.19796040791841632,0.0989,0.08718256348730254,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.0595880823835233,0.0297,0.0595880823835233,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.0647870425914817,0.0323,0.020995800839832032,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.38812237552489504,0.2059,0.2549490101979604,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,2,H1 (Power)
1,0.7339,0.5162967406518696,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,2,H1 (Power)
1,0.7653,0.9022195560887822,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,2,H1 (Power)
0.022395520895820836,0.0111,0.022395520895820836,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,2,H1 (Power)
1,0.6017,0.29254149170165966,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,2,H1 (Power)
0.09598080383923216,0.0479,0.09598080383923216,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,2,H1 (Power)
