p_perm,p_midp,p_boot,sig_perm,sig_midp,sig_boot,n,k_row,k_col,alpha,theta,rep,scenario
1,0.7277,0.6070785842831433,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5947,0.3837232553489302,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.5702859428114377,0.3799,0.39392121575684863,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.04979004199160168,0.0248,0.008798240351929614,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.5238952209558089,0.2853,0.37772445510897823,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.047390521895620874,0.0236,0.04499100179964007,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.0061987602479504095,0.003,0.0061987602479504095,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.05018996200759848,0.025,0.03819236152769446,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.04919016196760648,0.0245,0.033193361327734455,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.08018396320735853,0.0427,0.03159368126374725,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.16616676664667065,0.083,0.08498300339932013,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.03739252149570086,0.0186,0.009598080383923215,TRUE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.2011597680463907,0.116,0.04839032193561288,FALSE,FALSE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.16096780643871225,0.0804,0.02519496100779844,FALSE,FALSE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
1,0.5852,0.26034793041391724,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.07458508298340331,0.0393,0.03559288142371526,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.5090981803639272,0.3621,0.40691861627674464,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1949610077984403,0.1362,0.1895620875824835,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.05058988202359528,0.0252,0.03459308138372325,FALSE,TRUE,TRUE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.05078984203159368,0.0253,0.05078984203159368,FALSE,TRUE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.1881623675264947,0.133,0.11777644471105779,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.38292341531693663,0.2004,0.08678264347130574,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
0.4981003799240152,0.3493,0.28694261147770445,FALSE,FALSE,FALSE,10,2,2,0.05,1.116708980377408,1,H1 (Power)
