p_perm,p_midp,p_boot,sig_perm,sig_midp,sig_boot,n1,n2,k,alpha,assoc,rep,scenario
0.41151769646070785,0.2296,0.16076784643071385,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.03239352129574085,0.0161,0.030393921215756847,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.04799040191961608,0.0279,0.01839632073585283,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.04879024195160968,0.0243,0.04439112177564487,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.35132973405318935,0.1936,0.32013597280543893,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.4511097780443911,0.2888,0.3001399720055989,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.28954209158168365,0.1707,0.1933613277344531,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
1,0.7616,0.9624075184963007,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.3723255348930214,0.2093,0.10437912417516497,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.13357328534293142,0.07,0.12037592481503699,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.4439112177564487,0.2835,0.20275944811037794,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.729254149170166,0.4493,0.3079384123175365,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.05098980203959208,0.0254,0.01859628074385123,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
1,0.6017119838872105,0.9836890857833266,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.3737252549490102,0.2072,0.3597280543891222,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.08818236352729454,0.0482,0.023195360927814438,FALSE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.04379124175164967,0.0218,0.015796840631873626,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.15056988602279545,0.0873,0.11697660467906419,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
1,0.8576,0.7578484303139372,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.3805238952209558,0.2275,0.26854629074185166,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.7164567086582684,0.436,0.4023195360927814,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.5168966206758648,0.2832,0.41631673665266944,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.007598480303939212,0.0037,0.001999600079984003,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
0.672865426914617,0.4171,0.5484903019396121,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.009798040391921616,0.0048,0.004599080183963208,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
1,0.7059,0.4195160967806439,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.046990601879624075,0.0274,0.03259348130373925,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
1,0.704,0.5608878224355129,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.1195760847830434,0.0633,0.0635872825434913,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
1,0.7327,0.6864627074585083,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.13377324535092983,0.0699,0.0639872025594881,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.4461107778444311,0.2883,0.2571485702859428,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.2855428914217157,0.1819,0.16376724655068986,FALSE,FALSE,FALSE,5,5,3,0.05,2,1,H1 (Power)
0.007198560287942412,0.0035,0.002599480103979204,TRUE,TRUE,TRUE,5,5,3,0.05,2,1,H1 (Power)
