scenario,n_datasets,reject_perm,reject_midp,reject_bootei,reject_rand,reject_asym,reject_fisher
H0 (Type-I),5000,0.0162,0.0362,0.0506,0.0526,0.0578,0.0184
H1 (Power),5000,0.1962,0.2764,0.2998,0.312,0.3522,0.2168
